Twinning town/ city name,UK town/ city name,EUR town/ city name,EUR Country,EUR UA Code ,UK UA Code ,EUR_TT1060I,UK_TT1060I,EUR_SA2007I,UK_SA2007I,EUR_DE1059I,UK_DE1059I,EUR_DE1061I,UK_DE1061I,EUR_DE1057I,UK_DE1057I,EUR_DE1055I,UK_DE1055I,EUR_DE1073I,UK_DE1073I,EUR_DE1058I,UK_DE1058I,EUR_DE2001I,UK_DE2001I,EUR_TT1057V,UK_TT1057V,EUR_EC2009I,UK_EC2009I,EUR_TE2028I,UK_TE2028I,EUR_DE1064I,UK_DE1064I,EUR_DE1025I,UK_DE1025I,EUR_DE1085I,UK_DE1085I,EUR_EC2022I,UK_EC2022I,EUR_TT1057I,UK_TT1057I,EUR_DE1060I,UK_DE1060I,EUR_DE1003I,UK_DE1003I,EUR_TT1060V,UK_TT1060V,EUR_EC1174V,UK_EC1174V,EUR_SA2029I,UK_SA2029I,EUR_DE1028I,UK_DE1028I,EUR_EC1180V,UK_EC1180V,EUR_DE1076I,UK_DE1076I,EUR_DE2007I,UK_DE2007I,EUR_DE1073V,UK_DE1073V,EUR_CR1015V,UK_CR1015V,EUR_SA2018V,UK_SA2018V,EUR_SA2021V,UK_SA2021V,EUR_SA2019V,UK_SA2019V,EUR_CR1010V,UK_CR1010V,EUR_SA2020V,UK_SA2020V,EUR_SA2017V,UK_SA2017V,EUR_DE1049I,UK_DE1049I,EUR_DE2012V,UK_DE2012V,EUR_SA2007V,UK_SA2007V,EUR_EC1001V,UK_EC1001V,EUR_DE1040I,UK_DE1040I,EUR_SA2004I,UK_SA2004I,EUR_EC1003V,UK_EC1003V,EUR_EC1002V,UK_EC1002V,EUR_EC1179V,UK_EC1179V,EUR_DE1084I,UK_DE1084I,EUR_DE2009V,UK_DE2009V,EUR_DE2002V,UK_DE2002V,EUR_DE2010V,UK_DE2010V,EUR_DE1046I,UK_DE1046I,EUR_DE2008V,UK_DE2008V,EUR_SA2004V,UK_SA2004V,EUR_EC1012V,UK_EC1012V,EUR_DE2001V,UK_DE2001V,EUR_DE2003V,UK_DE2003V,EUR_DE2008I,UK_DE2008I,EUR_EC1010V,UK_EC1010V,EUR_SA1005V,UK_SA1005V,EUR_SA2013V,UK_SA2013V,EUR_SA1001V,UK_SA1001V,EUR_EC1011V,UK_EC1011V,EUR_EC1177V,UK_EC1177V,EUR_TE2031V,UK_TE2031V,EUR_EC2037V,UK_EC2037V,EUR_EN4008V,UK_EN4008V,EUR_DE2003I,UK_DE2003I,EUR_EC2020V,UK_EC2020V,EUR_DE1074V,UK_DE1074V,EUR_SA1004V,UK_SA1004V,EUR_EC1003I,UK_EC1003I,EUR_TE2031I,UK_TE2031I,EUR_EC1011I,UK_EC1011I,EUR_DE2009I,UK_DE2009I,EUR_EC2022V,UK_EC2022V,EUR_DE1060V,UK_DE1060V,EUR_DE1079V,UK_DE1079V,EUR_EC1020I,UK_EC1020I,EUR_EC2008I,UK_EC2008I,EUR_EC1012I,UK_EC1012I,EUR_EC2009V,UK_EC2009V,EUR_DE2011V,UK_DE2011V,EUR_DE1078V,UK_DE1078V,EUR_DE1047V,UK_DE1047V,EUR_EC2038V,UK_EC2038V,EUR_DE1040V,UK_DE1040V,EUR_DE1075V,UK_DE1075V,EUR_EC1001I,UK_EC1001I,EUR_EC2032V,UK_EC2032V,EUR_EC2034V,UK_EC2034V,EUR_DE1046V,UK_DE1046V,EUR_DE1061V,UK_DE1061V,EUR_DE1076V,UK_DE1076V,EUR_EC2021V,UK_EC2021V,EUR_EC1002I,UK_EC1002I,EUR_EC1176V,UK_EC1176V,EUR_EC2008V,UK_EC2008V,EUR_DE2002I,UK_DE2002I,EUR_EC2033V,UK_EC2033V,EUR_DE1049V,UK_DE1049V,EUR_DE1050V,UK_DE1050V,EUR_EC2036V,UK_EC2036V,EUR_EC1178V,UK_EC1178V,EUR_DE1042V,UK_DE1042V,EUR_EC1175V,UK_EC1175V,EUR_DE1056V,UK_DE1056V,EUR_DE1062V,UK_DE1062V,EUR_DE1077V,UK_DE1077V,EUR_DE1041V,UK_DE1041V,EUR_TE1026I,UK_TE1026I,EUR_EC2035V,UK_EC2035V,EUR_DE1058V,UK_DE1058V,EUR_DE1003V,UK_DE1003V,EUR_TE2028V,UK_TE2028V,EUR_DE1059V,UK_DE1059V,EUR_DE1048V,UK_DE1048V,EUR_DE1051V,UK_DE1051V,EUR_DE1029V,UK_DE1029V,EUR_DE1027V,UK_DE1027V,EUR_DE1026V,UK_DE1026V,EUR_DE1028V,UK_DE1028V,EUR_DE1030V,UK_DE1030V,EUR_DE1055V,UK_DE1055V,EUR_DE1066V,UK_DE1066V,EUR_DE1064V,UK_DE1064V,EUR_DE1025V,UK_DE1025V,EUR_DE1002V,UK_DE1002V,EUR_SA1013V,UK_SA1013V,EUR_SA1025V,UK_SA1025V,EUR_DE1057V,UK_DE1057V,EUR_DE1065V,UK_DE1065V,EUR_DE1001V,UK_DE1001V,EUR_SA3005V,UK_SA3005V,EUR_DE1063V,UK_DE1063V,EUR_DE3004I,UK_DE3004I,EUR_DE3017V,UK_DE3017V,EUR_EC2039V,UK_EC2039V,EUR_DE3001V,UK_DE3001V,EUR_TE1028V,UK_TE1028V,EUR_TE1027V,UK_TE1027V,EUR_TE2025V,UK_TE2025V,EUR_TE1026V,UK_TE1026V,EUR_SA1011V,UK_SA1011V,EUR_SA1050V,UK_SA1050V,EUR_SA1051V,UK_SA1051V,EUR_SA1012V,UK_SA1012V,EUR_SA2016V,UK_SA2016V
Dundee City/Orléans,Dundee City,Orléans,France,FR019C1,UK550C1,:,0.067,:,10.005,:,34,:,0.2,:,153.1,:,8.3,:,17.2,:,62.3,:,91.3,:,"52,643",:,:,:,36,:,12.3,:,12,:,4.8,:,4.6,:,354,:,28.3,:,107.3,:,1,:,"64,800",:,11.571,:,9.2,:,"9,600",:,11,:,6,:,37,8,:,:,197,:,887,:,"1,721",:,15,:,834,:,296,:,9.2,:,"8,937",:,"1,488",:,"70,800",:,5.1,:,7.392,:,"35,100",:,"35,700",:,"31,100",:,5.4,:,"11,634",:,"4,375",:,"4,783",:,5.7,:,"133,190",:,11,:,"1,400",:,"135,783",:,"4,562",:,89.6,:,"4,600",:,:,:,:,:,"74,531",:,"3,200",:,"61,100",:,"35,200",:,"29,900",:,49.68,:,3.1,:,"76,815",:,"7,961",:,:,:,53.2,:,45.1,:,9,:,7.8,:,"3,500",:,"12,650",:,"3,451",:,6.5,:,0,:,4,:,:,:,"6,851",:,"3,620",:,"4,051",:,"3,700",:,"7,639",:,"4,102",:,56.2,:,"20,900",:,800,:,"8,473",:,"16,342",:,"3,860",:,"3,230",:,59.4,:,"31,900",:,35,:,2.9,:,"3,000",:,"13,646",:,"6,521",:,"8,000",:,"30,000",:,"3,718",:,"32,900",:,"4,849",:,"7,851",:,"7,071",:,"3,921",:,129,:,"1,250",:,"25,585",:,"76,992",:,"28,100",:,"12,935",:,"4,422",:,"7,125",:,"6,440",:,"9,220",:,"8,573",:,"13,691",:,"7,252",:,"12,274",:,"9,380",:,"18,258",:,"17,793",:,"71,738",:,"16,899",:,"3,069",:,"7,425",:,"8,878",:,"148,730",:,:,:,"8,492",:,:,:,"144,824",:,"4,655",:,:,:,"11,655",:,"7,495",:,"9,100",:,"19,155",:,"33,426",:,"177,934.34",:,"99,775.00",:,"20,976",:,493
Dundee City/Würzburg,Dundee City,Würzburg,Germany,DE524C1,UK550C1,0.079,0.067,:,10.005,22.6,34,0.5,0.2,169.7,153.1,11.4,8.3,19.5,17.2,53.2,62.3,88.8,91.3,:,"52,643",8.6,:,:,36,12.3,12.3,11.7,12,3.1,4.8,2.1,4.6,:,354,30.7,28.3,109.5,107.3,1,1,"69,079","64,800",:,11.571,8.7,9.2,"11,341","9,600",11.2,11,11.2,6,:,37,4,:,:,197,:,887,:,"1,721",:,15,:,834,:,296,10.5,9.2,"14,242","8,937",:,"1,488","70,380","70,800",4.1,5.1,:,7.392,"34,415","35,100","35,965","35,700","33,024","31,100",3.2,5.4,"28,600","11,634","4,800","4,375","10,700","4,783",4.2,5.7,"98,000","133,190",:,11,822,"1,400","112,393","135,783","9,400","4,562",77.4,89.6,"1,963","4,600","61,950",:,:,:,"78,414","74,531","1,140","3,200","67,252","61,100",:,"35,200","45,328","29,900",:,49.68,7.4,3.1,"112,476","76,815","4,103","7,961","16,464",:,57.7,53.2,:,45.1,3.2,9,22.6,7.8,"2,327","3,500","11,724","12,650","1,909","3,451",2.8,6.5,0.4,0,2.4,4,"9,721",:,"17,900","6,851","2,028","3,620","2,642","4,051","5,540","3,700","5,235","7,639","2,095","4,102",62.1,56.2,"25,084","20,900","2,818",800,"5,363","8,473","14,193","16,342","2,008","3,860",:,"3,230",67,59.4,"33,783","31,900",497,35,3.8,2.9,"3,936","3,000","13,312","13,646","5,722","6,521","16,111","8,000","34,228","30,000","2,614","3,718","35,296","32,900","5,340","4,849","7,343","7,851","3,937","7,071","2,621","3,921",272,129,"1,113","1,250","24,705","25,585","66,188","76,992",:,"28,100","12,981","12,935","2,721","4,422","7,590","7,125","4,868","6,440","7,819","9,220","6,973","8,573","10,954","13,691","6,086","7,252","14,404","12,274","7,803","9,380","15,637","18,258","14,792","17,793","60,447","71,738",:,"16,899",:,"3,069","9,064","7,425","7,834","8,878","126,635","148,730",:,:,"6,850","8,492",:,:,:,"144,824",:,"4,655","82,305",:,:,"11,655",:,"7,495",:,"9,100","34,388","19,155",:,"33,426",:,"177,934.34",:,"99,775.00","2,750","20,976",:,493
Exeter/Rennes,Exeter,Rennes,France,FR013C2,UK018C1,:,:,:,9.223,:,34.5,:,1.1,:,158.6,:,7.7,:,16.8,:,60,:,85.2,:,"47,294",:,:,:,47.5,:,11.4,:,9.6,:,4.5,:,4.2,:,364.7,:,25.5,:,101.6,:,:,:,"65,700",:,8.545,:,8.2,:,"7,200",:,11.5,:,13.8,:,33.7,5,6,:,55,:,569,:,"1,108",:,:,:,539,:,110,:,13.3,:,"17,958",:,"1,196",:,"71,000",:,5,:,6.689,:,"32,700",:,"38,300",:,"28,100",:,5.2,:,"22,938",:,"11,473",:,"10,764",:,6.9,:,"105,508",:,8,:,"1,200",:,"110,488",:,"6,485",:,81.4,:,"4,000",:,"17,000",:,43,:,"54,640",:,"2,800",:,"62,700",:,"34,600",:,"33,600",:,38.51,:,5,:,"94,360",:,"6,763",:,"35,510",:,58.3,:,54.2,:,7.3,:,17.7,:,"4,000",:,"10,032",:,"2,798",:,5.6,:,0.1,:,3.7,:,:,:,"12,174",:,"2,985",:,"4,250",:,"3,700",:,"6,482",:,"3,462",:,64.2,:,"23,200",:,"2,250",:,"8,956",:,"14,864",:,"3,301",:,"4,110",:,70.2,:,"28,800",:,50,:,8.8,:,"4,500",:,"17,205",:,"8,730",:,"16,200",:,"34,600",:,"3,130",:,"36,900",:,"3,855",:,"7,620",:,"5,783",:,"3,353",:,185,:,"1,500",:,"21,745",:,"65,343",:,"30,300",:,"11,713",:,"4,706",:,"8,475",:,"4,962",:,"6,393",:,"6,035",:,"10,691",:,"5,729",:,"9,968",:,"7,423",:,"14,791",:,"12,428",:,"64,330",:,:,:,400,:,"6,113",:,"7,369",:,"129,672",:,2,:,"7,245",:,2.4,:,"128,446",:,"5,680",:,"52,989",:,"13,050",:,"10,965",:,:,:,"24,045",:,:,:,"334,320.35",:,"184,925.00",:,:,:,165
Glasgow City/Nürnberg,Glasgow City,Nürnberg,Germany,DE014C1,UK004C1,0.136,:,:,10.498,28.5,30.5,0.7,0.9,158.2,172,10.8,6.2,15.7,20.1,61,50.9,78.1,84.8,:,"181,596",14,5.8,:,33.1,14.5,13,12.2,11.2,4.2,4.4,3.3,4.3,:,291.2,32.5,20.3,105.5,104.9,7,:,"269,759","288,700",:,10.282,9.4,7.3,"46,095","35,800",13.2,13.3,21.9,13.1,:,35.6,7,:,:,831,:,"3,250",:,"6,413",:,33,:,"3,163",:,"1,348",6.4,8.6,"112,901","81,547",:,"6,548","274,227","301,000",4.9,5.4,:,4.429,"126,566","144,800","147,661","156,200","119,617","130,800",4.2,5.2,"168,300","95,799","53,600","30,596","75,600","31,008",4.4,5.1,"346,900","514,811",:,29,"5,236","10,600","402,300","529,063","59,300","50,951",67.3,82.5,"11,808","18,600","224,595",:,:,:,"278,063","311,447","6,572","8,000","258,863","272,700",:,"168,600","79,436","116,400",:,250.04,11.5,8.2,"360,801","416,286","21,776","32,621","53,468",:,54.7,53,:,46.9,4.5,5.1,32.7,15.4,"11,738","18,000","39,936","62,226","10,425","13,469",4.3,6.2,0.7,0,4.1,7.3,"50,556","24,192","92,700","64,791","10,994","14,256","11,928","16,067","17,400","19,000","25,137","33,925","11,237","16,582",61.4,56.9,"78,865","95,100","15,365","24,000","22,900","31,899","68,253","82,862","10,539","16,039",:,"18,420",68.5,61,"124,432","139,200","2,576",75,10.4,4.9,"26,186","20,000","33,149","53,734","16,622","26,187","73,665","90,700","139,246","142,000","12,177","16,549","145,327","149,600","21,503","14,176","34,005","42,278","21,419","27,725","12,960","17,376",50,115,"5,013","9,000","80,997","125,570","264,499","319,284",:,"119,100","41,061","63,345","10,972","15,832","16,527","27,547","21,999","21,738","32,408","36,637","30,469","33,413","48,410","45,565","26,411","23,827","55,511","38,554","36,848","42,198","74,772","81,214","62,877","70,049","250,702","304,432",:,"57,543",:,"6,803","34,008","24,378","37,924","39,016","515,201","623,715",:,:,"34,248","40,584",1.8,:,"509,000","610,610",:,"24,610","284,640",:,:,"40,685",:,"31,035",:,"55,600","25,868","71,985",:,"139,764",:,"216,451.48",:,"128,513.00","18,196",:,:,"2,179"
Glasgow City/Turin (Torino),Glasgow City,Turin (Torino),Italy,IT004C1,UK004C1,0.374,:,6.9,10.498,28,30.5,-0.5,0.9,158.2,172,14.1,6.2,11,20.1,72,50.9,84.9,84.8,"576,571","181,596",:,5.8,:,33.1,16.1,13,13,11.2,4.1,4.4,:,4.3,653.3,291.2,44,20.3,109.7,104.9,33,:,:,"288,700",11.815,10.282,11.4,7.3,:,"35,800",13.7,13.3,15.1,13.1,:,35.6,:,:,381,831,"5,522","3,250","10,427","6,413",:,33,"4,905","3,163",655,"1,348",4.3,8.6,"133,546","81,547","6,089","6,548",:,"301,000",3.9,5.4,:,4.429,:,"144,800",:,"156,200",:,"130,800",4.2,5.2,:,"95,799","56,750","30,596",:,"31,008",4.1,5.1,:,"514,811",:,29,:,"10,600","748,977","529,063","76,796","50,951",:,82.5,:,"18,600",:,:,:,:,:,"311,447",:,"8,000",:,"272,700",:,"168,600",:,"116,400",450.47,250.04,8.7,8.2,:,"416,286","37,423","32,621",:,:,:,53,:,46.9,:,5.1,:,15.4,:,"18,000","47,624","62,226","17,533","13,469",:,6.2,:,0,:,7.3,:,"24,192",:,"64,791","18,726","14,256","18,579","16,067",:,"19,000","34,112","33,925","19,303","16,582",:,56.9,:,"95,100",:,"24,000","36,007","31,899","121,192","82,862","18,120","16,039",:,"18,420",:,61,:,"139,200",:,75,6.4,4.9,:,"20,000","38,241","53,734","19,859","26,187",:,"90,700",:,"142,000","16,565","16,549",:,"149,600","48,356","14,176","60,058","42,278","36,259","27,725","17,547","17,376",:,115,:,"9,000","97,350","125,570","461,688","319,284",:,"119,100","49,726","63,345","17,428","15,832","18,382","27,547","45,461","21,738","60,425","36,637","54,044","33,413","100,813","45,565","55,352","23,827","124,861","38,554","72,620","42,198","141,796","81,214","114,469","70,049","420,835","304,432",:,"57,543",:,"6,803","76,505","24,378","69,176","39,016","882,523","623,715",3,:,"61,134","40,584",2,:,"865,927","610,610",:,"24,610","436,993",:,:,"40,685",:,"31,035",:,"55,600",:,"71,985",:,"139,764",:,"216,451.48",:,"128,513.00",:,:,"1,036","2,179"
Gloucester/Gouda,Gloucester,Gouda,Netherlands,NL030C1,UK572C1,:,:,:,12.672,:,42.4,:,0.4,:,135.3,:,7.5,:,13.7,:,70.6,:,90.8,:,"60,621",:,:,:,61.4,:,14.3,:,11.6,:,5.8,:,3.9,:,469.3,:,28.2,:,102.2,:,:,:,"62,100",:,8.941,:,9,:,"12,600",:,12.8,:,9.2,:,38.9,:,2,:,77,:,576,:,"1,155",:,:,:,579,:,132,:,6.1,:,"11,870",:,"1,637",:,"68,800",:,6.6,:,4.887,:,"33,900",:,"34,900",:,"29,600",:,6.6,:,"17,233",:,"6,644",:,"7,418",:,5.8,:,"111,989",:,8,:,:,:,"117,352",:,"5,226",:,86.7,:,"1,100",:,"10,960",:,55,:,"56,160",:,:,:,"61,000",:,"23,700",:,"21,900",:,47.78,:,4,:,"64,356",:,"8,554",:,"40,730",:,63.7,:,35,:,:,:,13.3,:,"2,500",:,"9,170",:,"3,646",:,1.6,:,0,:,:,:,:,:,"9,815",:,"3,850",:,"3,837",:,"2,500",:,"8,578",:,"4,319",:,65.8,:,"16,600",:,"3,000",:,"7,469",:,"16,588",:,"4,235",:,"3,645",:,68,:,"30,000",:,25,:,5.1,:,"2,250",:,"7,938",:,"4,181",:,"8,400",:,"31,400",:,"4,145",:,"32,100",:,"4,129",:,"8,418",:,"7,496",:,"4,433",:,:,:,900,:,"17,739",:,"65,285",:,"41,600",:,"8,569",:,"3,632",:,"3,757",:,"5,458",:,"7,490",:,"7,536",:,"11,643",:,"6,185",:,"9,714",:,"9,270",:,"18,442",:,"15,026",:,"63,900",:,:,:,650,:,"5,586",:,"9,172",:,"129,184",:,6,:,"8,170",:,2.4,:,"129,222",:,"4,855",:,"53,615",:,:,:,:,:,"3,600",:,:,:,:,:,"252,625.89",:,"137,897.00",:,:,:,209
Gloucester/Metz,Gloucester,Metz,France,FR017C2,UK572C1,:,:,:,12.672,:,42.4,:,0.4,:,135.3,:,7.5,:,13.7,:,70.6,:,90.8,:,"60,621",:,:,:,61.4,:,14.3,:,11.6,:,5.8,:,3.9,:,469.3,:,28.2,:,102.2,:,:,:,"62,100",:,8.941,:,9,:,"12,600",:,12.8,:,9.2,:,38.9,8,2,:,77,:,576,:,"1,155",:,:,:,579,:,132,:,6.1,:,"11,870",:,"1,637",:,"68,800",:,6.6,:,4.887,:,"33,900",:,"34,900",:,"29,600",:,6.6,:,"17,233",:,"6,644",:,"7,418",:,5.8,:,"111,989",:,8,:,:,:,"117,352",:,"5,226",:,86.7,:,"1,100",:,"10,960",:,55,:,"56,160",:,:,:,"61,000",:,"23,700",:,"21,900",:,47.78,:,4,:,"64,356",:,"8,554",:,"40,730",:,63.7,:,35,:,:,:,13.3,:,"2,500",:,"9,170",:,"3,646",:,1.6,:,0,:,:,:,:,:,"9,815",:,"3,850",:,"3,837",:,"2,500",:,"8,578",:,"4,319",:,65.8,:,"16,600",:,"3,000",:,"7,469",:,"16,588",:,"4,235",:,"3,645",:,68,:,"30,000",:,25,:,5.1,:,"2,250",:,"7,938",:,"4,181",:,"8,400",:,"31,400",:,"4,145",:,"32,100",:,"4,129",:,"8,418",:,"7,496",:,"4,433",:,:,:,900,:,"17,739",:,"65,285",:,"41,600",:,"8,569",:,"3,632",:,"3,757",:,"5,458",:,"7,490",:,"7,536",:,"11,643",:,"6,185",:,"9,714",:,"9,270",:,"18,442",:,"15,026",:,"63,900",:,:,:,650,:,"5,586",:,"9,172",:,"129,184",:,6,:,"8,170",:,2.4,:,"129,222",:,"4,855",:,"53,615",:,:,:,:,:,"3,600",:,:,:,:,:,"252,625.89",:,"137,897.00",:,:,:,209
Gloucester/Trier,Gloucester,Trier,Germany,DE026C1,UK572C1,0.091,:,:,12.672,25,42.4,-0.1,0.4,170,135.3,9.7,7.5,18.5,13.7,52,70.6,86.9,90.8,:,"60,621",12.1,:,:,61.4,13.5,14.3,12.1,11.6,3.7,5.8,4,3.9,:,469.3,27,28.2,103,102.2,1,:,"47,203","62,100",:,8.941,8,9,"8,630","12,600",12.1,12.8,13.1,9.2,:,38.9,3,2,:,77,:,576,:,"1,155",:,:,:,579,:,132,9.7,6.1,"14,427","11,870",:,"1,637","48,661","68,800",4.3,6.6,:,4.887,"24,095","33,900","24,566","34,900","22,838","29,600",3.7,6.6,"22,200","17,233","9,300","6,644","14,000","7,418",4.6,5.8,"87,800","111,989",:,8,642,:,"95,586","117,352","5,100","5,226",79.8,86.7,"1,719","1,100","46,549","10,960",:,55,"63,407","56,160","1,077",:,"45,638","61,000",:,"23,700","25,940","21,900",:,47.78,4.6,4,"69,404","64,356","4,124","8,554","16,858","40,730",48.5,63.7,:,35,4.4,:,20.2,13.3,"2,744","2,500","9,818","9,170","1,901","3,646",3.5,1.6,0.4,0,2.7,:,"8,374",:,"8,200","9,815","2,211","3,850","2,656","3,837","4,779","2,500","4,781","8,578","2,138","4,319",50.2,65.8,"17,455","16,600","1,373","3,000","5,100","7,469","13,290","16,588","1,986","4,235",:,"3,645",51.9,68,"23,419","30,000",271,25,8.5,5.1,"1,244","2,250","10,632","7,938","5,189","4,181","6,676","8,400","22,800","31,400","2,249","4,145","23,784","32,100","3,963","4,129","6,945","8,418","4,112","7,496","2,532","4,433",161,:,547,900,"20,306","17,739","55,832","65,285",:,"41,600","10,488","8,569","2,444","3,632","5,443","3,757","4,083","5,458","6,838","7,490","6,479","7,536","8,820","11,643","4,737","6,185","10,702","9,714","7,332","9,270","14,829","18,442","13,317","15,026","54,181","63,900",:,:,"1,873",650,"6,739","5,586","7,497","9,172","110,013","129,184",:,6,"6,345","8,170",:,2.4,:,"129,222",:,"4,855","61,478","53,615",:,:,:,:,:,"3,600","17,758",:,:,:,:,"252,625.89",:,"137,897.00","4,810",:,:,209
Gravesham/Neumünster,Gravesham,Neumünster,Germany,DE055C1,UK020C1,0.252,:,:,12.338,32.6,45.2,-0.4,0.1,151.9,133.2,12.2,8.1,12.3,13.1,71.2,75.6,89,95,:,"48,874",12.3,:,:,59.3,15.5,14.4,13.6,11.5,4.6,6.4,6.2,7.5,:,460,38.7,30.4,102.4,103,2,:,"37,769","53,000",:,8.856,10.4,9.2,"7,617","12,200",11.3,12.7,11,5.7,:,39.6,1,2,:,45,:,450,:,941,:,:,:,491,:,86,5.8,5.3,"8,733","6,044",:,"1,311","39,178","59,000",4.4,6.7,:,3.814,"17,774","28,500","21,404","30,500","16,435","26,100",4.4,6.8,:,"16,173","3,800","2,260",:,"3,524",5.6,5.8,:,"90,776",:,5,781,:,"70,602","100,905","4,900","3,784",:,85.4,"1,969","3,300","24,820","8,940",:,40,"41,870","43,280","1,188","2,200","36,023","51,600",:,"16,800","11,095","8,900",:,35.49,6.2,3.6,"47,622","33,492","3,497","7,219","17,050","29,770",50.8,65.5,:,30.6,5.6,7.2,:,15.2,"2,972","2,500","4,653","7,182","1,752","3,271",5,5.6,1,1.8,4.4,:,"5,866",:,:,"12,649","1,900","3,520","2,293","3,242","2,811","1,400","3,520","7,152","1,804","3,666",57.1,69.3,"14,934","10,300","1,083",350,"4,423","6,194","8,940","13,484","1,693","3,553",:,"3,830",63.6,73.3,"17,108","26,600",468,600,4.8,2.1,640,500,"4,581","5,582","2,445","2,833","7,293","6,300","19,588","25,600","1,694","3,584","20,661","26,400","3,837","3,694","4,550","6,556","3,652","6,791","1,826","3,568",:,:,461,450,"9,792","13,950","40,145","53,919",:,"32,600","5,139","6,769","2,130","2,953","2,136","2,750","3,901","4,665","5,479","6,119","5,282","6,140","8,246","9,761","4,345","5,096","9,664","8,614","6,046","7,565","12,259","15,249","10,761","12,258","39,190","52,335",:,:,:,250,"5,827","4,921","6,213","7,684","79,335","106,253",:,:,"4,390","6,928",:,2.5,:,"106,949",:,"4,290",:,"42,876",:,:,:,:,:,:,:,:,:,:,:,"376,896.78",:,"189,312.00",:,:,:,131
Guildford/Freiburg im Breisgau,Guildford,Freiburg im Breisgau,Germany,DE027C1,UK033C1,0.131,:,:,9.321,28,38.6,0.9,0.4,161.2,134.7,8.7,7.7,18.9,14,53,65.9,82.9,86.6,:,"74,853",8.1,5.9,:,47.4,13.2,13.3,11.3,10.9,4.1,5.7,2.6,4.7,:,506.3,25,27.4,109.6,100.1,3,:,"113,101","71,300",:,7.055,7.7,8.8,"18,182","13,800",12.5,12.3,17.1,12.6,:,37.5,8,4,:,52,:,537,:,"1,043",:,:,:,506,:,88,9.5,9.7,"39,330","18,668",:,"1,378","115,577","78,700",5,5.1,:,2.177,"57,451","34,900","58,126","43,800","54,626","31,200",4.3,6,"56,100","23,569","16,200","10,590","21,600","10,618",4.9,6.5,"173,500","123,097",:,3,"1,770",:,"190,306","127,998","23,100","8,078",75.6,83.3,"4,581","3,400","97,122","11,750",:,36,"115,751","58,140","2,812","2,600","108,822","68,800",:,"39,600","62,523","24,000",:,54.43,10.1,5.5,"154,365","84,370","9,889","8,798","18,629","39,510",54.7,56.4,:,53,4.8,5.9,24.4,15.9,"4,077","4,000","22,245","9,682","4,811","4,189",4,4.3,0.4,0.6,3.1,:,"12,497","4,940","34,500","12,951","4,644","4,231","5,620","4,830","10,336","4,900","11,466","7,588","5,079","4,609",58.1,64,"35,719","21,600","3,144","2,500","11,188","9,553","28,757","18,215","4,810","4,189",:,"7,435",61.9,71.6,"56,267","32,000",584,500,7.1,7.2,"5,772","5,000","21,813","14,410","9,434","7,344","18,136","15,600","54,197","37,600","5,505","3,690","56,834","39,300","7,613","4,843","14,380","9,083","9,455","8,420","5,961","3,899","3,572",115,"1,578","1,250","43,484","20,674","120,099","73,937",:,"35,400","21,239","10,992","5,568","4,723","12,379","7,066","8,121","6,306","13,392","8,141","12,488","7,955","17,621","13,020","9,500","6,714","19,882","11,366","15,243","9,889","30,201","19,696","25,880","16,096","109,537","73,897",:,:,:,494,"12,269","6,523","14,958","9,807","229,636","147,833",:,0,"14,377","9,132",:,2.6,:,"146,666",:,"8,745","125,466","56,484",:,"9,290",:,"7,650",:,:,"820,285","16,945",:,:,:,"628,166.06",:,"296,565.00",:,:,:,140
Ipswich/Arras,Ipswich,Arras,France,FR064C2,UK569C1,:,:,:,12.644,:,41.4,:,-0.4,:,134.1,:,7.6,:,15.3,:,69,:,88.3,:,"58,743",:,4.9,:,55.9,:,13.2,:,11.1,:,5.8,:,4.1,:,425.7,:,27.6,:,99.7,:,:,:,"68,900",:,9.065,:,8.7,:,"8,300",:,13.4,:,12.1,:,37.8,4,1,:,80,:,649,:,"1,251",:,:,:,602,:,116,:,6.1,:,"16,719",:,"1,745",:,"70,600",:,6.8,:,2.865,:,"31,700",:,"38,800",:,"29,800",:,6.6,:,"20,117",:,"12,622",:,"11,957",:,5.3,:,"118,393",:,5,:,"1,200",:,"121,791",:,"4,097",:,85.8,:,"1,900",:,"15,620",:,45,:,"61,210",:,:,:,"67,000",:,"23,000",:,"23,500",:,57.06,:,3,:,"73,326",:,"9,087",:,"40,970",:,56.6,:,31.4,:,:,:,14.6,:,"3,000",:,"10,476",:,"3,759",:,2.7,:,0,:,3.8,:,"3,613",:,"8,160",:,"4,223",:,"3,905",:,"3,800",:,"9,388",:,"4,622",:,63.3,:,"19,900",:,"5,000",:,"7,366",:,"18,550",:,"4,465",:,"4,070",:,69.9,:,"31,100",:,10,:,9.1,:,"1,750",:,"8,442",:,"4,362",:,"11,300",:,"37,100",:,"4,633",:,"37,800",:,"4,490",:,"9,463",:,"7,982",:,"4,755",:,39,:,900,:,"21,169",:,"68,902",:,"40,900",:,"10,693",:,"3,461",:,"4,080",:,"5,799",:,"7,735",:,"7,534",:,"12,010",:,"6,211",:,"10,512",:,"8,975",:,"18,236",:,"15,269",:,"69,105",:,:,:,368,:,"6,022",:,"9,261",:,"138,006",:,6,:,"9,088",:,2.3,:,"138,510",:,"5,395",:,"60,218",:,"3,520",:,"1,855",:,"6,100",:,"5,375",:,:,:,"249,166.06",:,"159,564.00",:,:,:,196
